location,date,total_cases,new_cases,total_deaths,people_vaccinated,population
Brazil,2021-01-01,7448560.0,0.0,190488.0,,215313504
Brazil,2021-01-02,7448560.0,0.0,190488.0,,215313504
Brazil,2021-01-03,7700578.0,252018.0,195411.0,,215313504
Brazil,2021-01-04,7700578.0,0.0,195411.0,,215313504
Brazil,2021-01-05,7700578.0,0.0,195411.0,,215313504
Brazil,2021-01-06,7700578.0,0.0,195411.0,,215313504
Brazil,2021-01-07,7700578.0,0.0,195411.0,,215313504
Brazil,2021-01-08,7700578.0,0.0,195411.0,,215313504
Brazil,2021-01-09,7700578.0,0.0,195411.0,,215313504
Brazil,2021-01-10,8013708.0,313130.0,201460.0,,215313504
Brazil,2021-01-11,8013708.0,0.0,201460.0,,215313504
Brazil,2021-01-12,8013708.0,0.0,201460.0,,215313504
Brazil,2021-01-13,8013708.0,0.0,201460.0,,215313504
Brazil,2021-01-14,8013708.0,0.0,201460.0,,215313504
Brazil,2021-01-15,8013708.0,0.0,201460.0,,215313504
Brazil,2021-01-16,8013708.0,0.0,201460.0,,215313504
Brazil,2021-01-17,8393492.0,379784.0,208246.0,112.0,215313504
Brazil,2021-01-18,8393492.0,0.0,208246.0,1109.0,215313504
Brazil,2021-01-19,8393492.0,0.0,208246.0,13527.0,215313504
Brazil,2021-01-20,8393492.0,0.0,208246.0,105824.0,215313504
Brazil,2021-01-21,8393492.0,0.0,208246.0,193699.0,215313504
Brazil,2021-01-22,8393492.0,0.0,208246.0,462269.0,215313504
Brazil,2021-01-23,8393492.0,0.0,208246.0,573268.0,215313504
Brazil,2021-01-24,8753920.0,360428.0,215243.0,613954.0,215313504
Brazil,2021-01-25,8753920.0,0.0,215243.0,801759.0,215313504
Brazil,2021-01-26,8753920.0,0.0,215243.0,1045746.0,215313504
Brazil,2021-01-27,8753920.0,0.0,215243.0,1327546.0,215313504
Brazil,2021-01-28,8753920.0,0.0,215243.0,1563098.0,215313504
Brazil,2021-01-29,8753920.0,0.0,215243.0,1923813.0,215313504
Brazil,2021-01-30,8753920.0,0.0,215243.0,2046523.0,215313504
